loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1258,3, Graduate, No,6200000,21300000,12,655,6500000,11600000,19200000,5000000, Approved
1259,1, Not Graduate, Yes,4400000,16600000,18,385,800000,5300000,13400000,5100000, Rejected
1260,2, Graduate, No,1800000,3800000,4,777,5100000,2700000,4600000,1400000, Approved
1261,3, Graduate, No,1700000,5300000,14,696,300000,700000,4500000,800000, Approved
1262,3, Graduate, No,3900000,14100000,16,496,2500000,2200000,13700000,2900000, Rejected
1263,2, Graduate, Yes,2200000,7900000,6,659,3400000,1800000,8600000,2400000, Approved
1264,3, Not Graduate, Yes,6300000,17700000,2,542,16800000,900000,16400000,5300000, Rejected
1265,2, Not Graduate, No,2200000,8700000,18,729,3900000,3300000,7600000,1300000, Approved
1266,1, Graduate, No,8100000,28400000,6,744,20300000,10500000,21800000,7700000, Approved
1267,4, Not Graduate, No,6800000,17000000,2,749,18000000,3800000,27100000,9400000, Approved
1268,0, Graduate, No,4700000,14800000,20,755,12300000,5000000,15400000,3700000, Approved
1269,3, Graduate, Yes,2200000,5300000,2,506,1600000,1700000,5800000,2800000, Rejected
1270,3, Graduate, Yes,3500000,13000000,6,391,6100000,3500000,13300000,4300000, Rejected
1271,1, Not Graduate, Yes,3500000,11600000,10,898,3100000,2700000,9000000,4500000, Approved
1272,5, Not Graduate, No,500000,1500000,12,527,100000,600000,1100000,200000, Rejected
1273,5, Not Graduate, No,9900000,35800000,20,470,9500000,18400000,39100000,14700000, Rejected
1274,1, Graduate, No,8400000,25000000,12,694,5300000,14900000,23000000,7700000, Approved
1275,1, Graduate, No,5000000,18800000,14,325,13100000,5700000,12800000,4300000, Rejected
1276,4, Not Graduate, Yes,5500000,13400000,10,880,300000,800000,19900000,2800000, Approved
1277,5, Graduate, Yes,3000000,11900000,14,459,6000000,4800000,11700000,4200000, Rejected
1278,3, Not Graduate, Yes,9400000,21400000,10,323,5100000,15500000,29600000,11300000, Rejected
1279,4, Graduate, No,7600000,29000000,8,739,22100000,8100000,22100000,8800000, Approved
1280,0, Not Graduate, Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000, Approved
1281,1, Graduate, No,3100000,7400000,18,487,8400000,1200000,9200000,4500000, Rejected
1282,3, Graduate, No,7700000,27700000,4,439,13900000,7500000,27100000,6200000, Approved
1283,2, Graduate, No,9800000,25400000,2,655,19900000,4600000,21300000,7900000, Approved
1284,3, Not Graduate, No,3200000,9200000,14,443,3300000,1100000,7200000,4500000, Rejected
1285,2, Graduate, No,700000,2600000,20,489,100000,200000,2400000,900000, Rejected
1286,4, Not Graduate, Yes,3100000,8600000,14,427,3100000,3800000,9900000,3700000, Rejected
1287,0, Graduate, Yes,4500000,10500000,20,417,9800000,2000000,9600000,5800000, Rejected
1288,5, Not Graduate, Yes,8900000,24800000,18,842,16200000,5000000,20000000,8100000, Approved
1289,3, Not Graduate, No,5900000,23200000,2,307,15500000,10000000,21100000,6300000, Approved
1290,2, Not Graduate, No,1500000,4500000,18,428,4500000,1200000,5600000,1100000, Rejected
1291,4, Not Graduate, Yes,6300000,15200000,16,415,15500000,1800000,20700000,7900000, Rejected
1292,3, Not Graduate, Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000, Rejected
1293,4, Graduate, No,8000000,31500000,18,683,10300000,7900000,30100000,9600000, Approved
1294,1, Graduate, Yes,3300000,10600000,14,742,300000,600000,8400000,4500000, Approved
1295,4, Not Graduate, No,3900000,10000000,10,530,10900000,200000,12300000,1900000, Rejected
1296,3, Graduate, No,1600000,3500000,10,844,4500000,2200000,5200000,1600000, Approved
1297,2, Not Graduate, Yes,3900000,13900000,18,715,5000000,5600000,9900000,2100000, Approved
1298,3, Graduate, Yes,8000000,26300000,12,476,21700000,6600000,16400000,9000000, Rejected
1299,2, Graduate, No,2200000,4800000,6,721,1800000,100000,6900000,2200000, Approved
1300,4, Not Graduate, No,7600000,30300000,12,339,20400000,8000000,22200000,5800000, Rejected
1301,5, Not Graduate, Yes,2700000,6800000,6,461,4500000,2000000,8200000,1700000, Rejected
1302,2, Graduate, Yes,6300000,23200000,12,556,7000000,8300000,24200000,5300000, Approved
1303,3, Not Graduate, No,7700000,18700000,8,483,15100000,5600000,24600000,10200000, Rejected
1304,2, Graduate, No,4500000,17200000,18,406,4100000,6300000,13800000,3300000, Rejected
1305,2, Graduate, Yes,9400000,24800000,14,513,24200000,18200000,37200000,7500000, Rejected
1306,0, Not Graduate, No,4600000,12600000,16,574,3400000,6200000,15100000,3600000, Approved
1307,0, Graduate, Yes,5200000,15700000,6,692,3800000,7000000,12800000,5500000, Approved
1308,5, Graduate, Yes,8000000,29800000,18,867,17700000,14100000,22800000,9200000, Approved
1309,1, Not Graduate, Yes,9900000,38500000,2,875,19600000,2900000,20200000,6500000, Approved
1310,4, Graduate, Yes,8500000,18600000,10,597,16600000,3200000,21000000,11600000, Approved
1311,2, Graduate, Yes,4900000,12000000,20,513,14200000,8100000,18300000,4800000, Rejected
1312,3, Graduate, Yes,7000000,24200000,2,354,18200000,7000000,15900000,7900000, Approved
1313,2, Not Graduate, No,9600000,25900000,18,647,11800000,9900000,35600000,11500000, Approved
1314,1, Graduate, No,9700000,23700000,6,875,11500000,14400000,38100000,10400000, Approved
1315,1, Graduate, No,6200000,14300000,20,819,7500000,11700000,16700000,4300000, Approved
1316,4, Not Graduate, Yes,4100000,9600000,10,521,11900000,7100000,14100000,4900000, Rejected
1317,0, Graduate, Yes,6100000,19900000,20,761,4500000,3700000,12700000,7100000, Approved
1318,0, Graduate, No,700000,1900000,18,572,1400000,1000000,2000000,300000, Approved
1319,3, Graduate, No,6400000,24100000,12,571,19000000,11500000,13200000,7500000, Approved
1320,4, Graduate, Yes,3800000,7800000,20,891,4600000,7000000,14300000,3300000, Approved
1321,1, Not Graduate, No,4900000,14800000,12,895,8600000,8200000,18300000,5200000, Approved
1322,2, Graduate, No,2100000,6600000,20,580,3800000,4100000,6200000,2100000, Approved
1323,2, Graduate, No,6200000,23400000,8,605,10000000,10800000,21800000,9200000, Approved
1324,4, Not Graduate, No,1600000,5100000,8,705,2400000,800000,5100000,1900000, Approved
1325,1, Not Graduate, Yes,1300000,5000000,20,423,900000,800000,3900000,1600000, Rejected
1326,5, Not Graduate, Yes,7300000,22500000,2,846,9800000,4700000,20300000,5700000, Approved
1327,2, Not Graduate, No,2100000,5000000,4,542,700000,600000,6600000,3100000, Rejected
1328,5, Not Graduate, No,600000,2400000,18,631,600000,300000,2100000,900000, Approved
1329,4, Graduate, No,7000000,24500000,18,318,4300000,1700000,16300000,3600000, Rejected
1330,1, Not Graduate, Yes,3000000,6800000,10,541,5800000,5700000,10700000,2900000, Rejected
1331,1, Graduate, No,900000,2900000,20,782,0,1500000,3500000,800000, Approved
1332,2, Graduate, No,9600000,35000000,2,888,12600000,6500000,37900000,5800000, Approved
1333,0, Graduate, No,1500000,3600000,14,747,200000,1400000,3000000,1200000, Approved
1334,0, Graduate, Yes,5000000,18900000,6,641,4300000,8500000,19600000,6700000, Approved
1335,3, Graduate, Yes,500000,1700000,4,640,400000,700000,1300000,200000, Approved
1336,4, Not Graduate, No,7600000,28100000,12,324,12500000,8500000,19900000,11100000, Rejected
1337,4, Graduate, No,5500000,21200000,20,359,4200000,5300000,18600000,6400000, Rejected
1338,0, Not Graduate, Yes,6600000,23300000,12,338,2400000,800000,18900000,9300000, Rejected
1339,0, Graduate, No,1400000,3200000,14,384,3100000,800000,3400000,2000000, Rejected
1340,5, Not Graduate, Yes,8800000,26600000,16,545,19100000,16600000,30400000,7600000, Rejected
1341,5, Not Graduate, No,6200000,24200000,18,610,10200000,7800000,19600000,8300000, Approved
1342,2, Graduate, Yes,8300000,27900000,18,840,12600000,3500000,19100000,9200000, Approved
1343,3, Not Graduate, No,2400000,8100000,6,630,5100000,2900000,9100000,2300000, Approved
1344,1, Graduate, No,9100000,31200000,4,508,12800000,11700000,31100000,7800000, Approved
1345,0, Not Graduate, Yes,9500000,34900000,4,535,800000,14100000,25600000,14000000, Approved
1346,1, Graduate, No,1200000,3400000,20,717,3100000,1500000,2500000,900000, Approved
1347,2, Graduate, Yes,7700000,19300000,8,735,1200000,1900000,23800000,10400000, Approved
1348,5, Graduate, Yes,7800000,22000000,20,528,5800000,8800000,24700000,4900000, Rejected
1349,0, Graduate, Yes,9400000,20000000,4,350,3300000,1400000,37200000,4700000, Rejected
1350,0, Not Graduate, No,1700000,5700000,12,422,3400000,1100000,6500000,900000, Rejected
1351,5, Graduate, No,4000000,13700000,6,496,-100000,1400000,15800000,3700000, Rejected
1352,4, Not Graduate, No,4200000,15500000,18,794,7300000,700000,13400000,2200000, Approved
1353,2, Graduate, No,2400000,7700000,6,719,6000000,1700000,6700000,1600000, Approved
1354,3, Not Graduate, Yes,2700000,6100000,14,630,3900000,2800000,10600000,2300000, Approved
1355,3, Not Graduate, Yes,600000,1800000,4,843,1400000,300000,1700000,400000, Approved
1356,2, Graduate, No,4600000,15600000,2,764,7700000,1500000,16000000,5800000, Approved
1357,3, Graduate, No,7200000,17700000,4,662,13100000,11500000,16300000,5300000, Approved
1358,0, Not Graduate, No,4700000,15500000,16,311,12800000,200000,17500000,2700000, Rejected
1359,4, Not Graduate, No,4300000,10100000,2,606,9900000,1800000,8900000,5500000, Approved
1360,5, Graduate, No,4700000,10200000,16,874,10800000,7700000,11100000,7000000, Approved
1361,4, Not Graduate, Yes,8700000,30000000,4,370,17600000,15600000,34600000,12100000, Approved
1362,1, Graduate, No,7000000,20500000,10,414,19700000,7500000,20700000,5100000, Rejected
1363,2, Not Graduate, No,600000,1100000,10,800,1200000,200000,2300000,900000, Approved
1364,1, Not Graduate, No,6800000,16900000,12,779,13800000,10200000,23400000,4400000, Approved
1365,1, Not Graduate, No,6400000,14100000,20,553,11700000,4500000,20000000,3600000, Approved
1366,4, Not Graduate, No,7600000,29900000,18,445,4800000,13900000,18400000,5700000, Rejected
1367,3, Not Graduate, No,9000000,21400000,8,496,16400000,7300000,31800000,12500000, Rejected
1368,0, Graduate, Yes,2400000,5900000,10,650,5100000,3700000,5300000,2300000, Approved
1369,3, Not Graduate, No,6800000,17900000,6,783,20000000,9800000,23600000,5500000, Approved
1370,5, Graduate, Yes,3500000,13500000,10,535,3100000,5700000,12500000,3100000, Rejected
1371,4, Graduate, Yes,8900000,34000000,20,415,13500000,3100000,33600000,12800000, Rejected
1372,0, Not Graduate, No,6000000,15300000,8,709,8900000,1700000,16400000,3500000, Approved
1373,3, Not Graduate, No,700000,2500000,14,819,1600000,1000000,2100000,900000, Approved
1374,0, Not Graduate, Yes,6800000,17300000,18,841,10500000,8600000,16000000,8700000, Approved
1375,4, Not Graduate, Yes,5300000,10700000,12,700,15800000,1900000,20500000,2900000, Approved
1376,1, Graduate, Yes,1400000,4200000,4,881,2800000,1200000,5100000,1300000, Approved
1377,2, Graduate, Yes,1400000,4600000,4,804,1900000,2200000,5200000,700000, Approved
1378,4, Not Graduate, No,9200000,21700000,6,653,22700000,4600000,29400000,8600000, Approved
1379,1, Graduate, Yes,7900000,29200000,2,663,19600000,12100000,28600000,10100000, Approved
1380,0, Not Graduate, No,4500000,17500000,10,495,10300000,3500000,9700000,6200000, Rejected
1381,1, Not Graduate, No,3800000,9800000,8,335,100000,5100000,14200000,1800000, Rejected
1382,5, Graduate, Yes,1500000,4900000,6,618,3400000,1000000,3200000,900000, Approved
1383,3, Not Graduate, No,1200000,2400000,12,480,3000000,100000,3100000,1700000, Rejected
1384,4, Not Graduate, No,1700000,4900000,18,843,4800000,2200000,6200000,1800000, Approved
1385,4, Graduate, No,5200000,14100000,16,483,11800000,800000,19200000,2700000, Rejected
1386,1, Not Graduate, No,1600000,5100000,12,548,2200000,2700000,3600000,800000, Rejected
1387,4, Graduate, Yes,6600000,16000000,16,379,6500000,12600000,24700000,4500000, Rejected
1388,5, Not Graduate, Yes,9400000,26600000,20,771,10200000,12600000,36900000,11700000, Approved
1389,4, Graduate, Yes,300000,500000,2,353,600000,100000,1200000,400000, Rejected
1390,5, Not Graduate, No,4600000,11500000,16,668,6500000,3100000,10200000,5500000, Approved
1391,3, Not Graduate, Yes,6100000,21300000,2,387,7100000,3100000,16300000,4100000, Approved
1392,0, Not Graduate, Yes,1500000,4100000,12,789,3600000,1600000,5800000,1300000, Approved
1393,0, Graduate, Yes,400000,900000,2,855,-100000,500000,1300000,400000, Approved
1394,0, Not Graduate, No,8700000,33600000,14,751,7100000,13700000,22800000,7000000, Approved
1395,3, Not Graduate, No,7000000,21600000,12,739,1600000,7600000,24500000,8400000, Approved
1396,4, Graduate, No,4700000,13100000,14,492,1000000,4500000,14100000,6400000, Rejected
1397,4, Not Graduate, Yes,7600000,23800000,16,896,3700000,4500000,15400000,6400000, Approved
1398,1, Not Graduate, Yes,9200000,24500000,4,545,25700000,0,20600000,13300000, Rejected
1399,5, Not Graduate, No,9400000,36800000,20,891,13900000,16600000,19300000,8900000, Approved
1400,0, Graduate, No,4800000,15100000,6,848,1300000,300000,18800000,3500000, Approved
1401,3, Not Graduate, Yes,600000,2400000,12,884,600000,800000,1400000,600000, Approved
1402,3, Graduate, Yes,4900000,14300000,14,439,10300000,5600000,17400000,5100000, Rejected
1403,3, Graduate, Yes,3300000,8500000,12,586,7500000,5100000,7800000,3900000, Approved
1404,3, Graduate, Yes,9100000,18800000,20,308,14500000,10200000,20500000,4800000, Rejected
1405,5, Graduate, No,6100000,23500000,16,300,300000,700000,22800000,4800000, Rejected
1406,3, Graduate, Yes,8400000,19600000,2,741,21500000,200000,18700000,8300000, Approved
1407,4, Graduate, No,7900000,31400000,8,698,16500000,11400000,28700000,5100000, Approved
1408,2, Not Graduate, Yes,6100000,22300000,10,733,12100000,9700000,17200000,5600000, Approved
1409,3, Not Graduate, Yes,2000000,4200000,16,571,1700000,3900000,5800000,1300000, Approved
1410,3, Graduate, Yes,9900000,29900000,20,490,10500000,9100000,27100000,7400000, Rejected
1411,2, Not Graduate, No,9500000,25400000,16,451,19000000,2900000,33800000,11400000, Rejected
1412,4, Graduate, Yes,1900000,6800000,6,559,3600000,2200000,6200000,1200000, Approved
1413,4, Graduate, Yes,6900000,21400000,10,577,12500000,2200000,14900000,6300000, Approved
1414,2, Not Graduate, Yes,1500000,5000000,4,613,4400000,1300000,5200000,2100000, Approved
1415,4, Not Graduate, No,1900000,3800000,20,785,1000000,600000,6100000,1500000, Approved
1416,0, Graduate, Yes,2300000,6000000,8,690,5500000,2900000,6000000,2000000, Approved
1417,2, Not Graduate, No,7800000,17100000,14,351,19000000,7200000,19300000,7100000, Rejected
1418,4, Not Graduate, No,400000,1000000,10,447,0,300000,900000,300000, Rejected
1419,0, Graduate, Yes,9400000,19200000,20,708,21200000,16300000,23400000,13200000, Approved
1420,2, Graduate, No,9100000,21700000,12,549,25500000,11000000,34700000,12200000, Rejected
1421,1, Graduate, Yes,9000000,18800000,8,797,4100000,9400000,22900000,7500000, Approved
1422,4, Not Graduate, No,7100000,14300000,14,537,13700000,10400000,18200000,6100000, Rejected
1423,3, Graduate, No,800000,2500000,12,828,1700000,0,1500000,700000, Approved
1424,0, Graduate, Yes,4500000,9600000,14,471,3200000,7700000,11000000,3600000, Rejected
1425,5, Graduate, No,8500000,25400000,4,336,8500000,1200000,30600000,9000000, Rejected
1426,3, Not Graduate, Yes,2500000,9800000,16,424,4700000,3200000,5800000,1300000, Rejected
1427,2, Graduate, No,1500000,3300000,18,440,800000,2300000,3000000,1800000, Rejected
1428,0, Not Graduate, No,6200000,17300000,8,583,3700000,3900000,13600000,3300000, Approved
1429,1, Not Graduate, Yes,1300000,2900000,6,480,2900000,300000,2900000,1400000, Rejected
1430,5, Not Graduate, No,6600000,25800000,10,670,4600000,7200000,20600000,8500000, Approved
1431,0, Graduate, Yes,5300000,13700000,6,329,8800000,7600000,11200000,2800000, Rejected
1432,5, Not Graduate, No,1400000,3000000,6,754,3500000,2700000,5300000,1400000, Approved
1433,2, Not Graduate, Yes,2900000,7800000,18,588,400000,100000,11600000,4200000, Approved
1434,3, Not Graduate, No,6500000,16500000,4,551,5300000,800000,18500000,7600000, Approved
1435,3, Graduate, No,8300000,18900000,4,316,20200000,9700000,21300000,8200000, Rejected
1436,2, Not Graduate, Yes,8900000,32200000,12,382,0,11300000,20500000,5400000, Rejected
1437,3, Graduate, No,5300000,15000000,6,717,7000000,4100000,17100000,5300000, Approved
1438,0, Graduate, No,2800000,7300000,6,676,3500000,2200000,5700000,3200000, Approved
1439,1, Not Graduate, No,8000000,27800000,6,667,6000000,12600000,22500000,9900000, Approved
1440,3, Not Graduate, No,3900000,10500000,20,821,1600000,6300000,11000000,3900000, Approved
1441,0, Graduate, No,6200000,20100000,20,345,9300000,5900000,17400000,4100000, Rejected
1442,3, Not Graduate, Yes,5900000,19200000,10,442,9500000,500000,18300000,4700000, Rejected
1443,1, Graduate, Yes,6000000,23300000,12,672,2000000,11300000,19600000,6400000, Approved
1444,3, Not Graduate, Yes,9100000,29300000,2,508,19000000,5100000,31600000,11900000, Approved
1445,5, Graduate, Yes,3400000,12300000,10,615,7000000,1600000,11400000,3500000, Approved
1446,1, Graduate, Yes,1800000,4400000,8,689,3200000,2500000,3800000,1600000, Approved
1447,1, Graduate, No,300000,1200000,18,747,100000,0,700000,200000, Rejected
1448,1, Graduate, Yes,9000000,22800000,10,412,0,15600000,32000000,4700000, Rejected
1449,1, Graduate, No,6400000,16900000,2,703,6300000,7300000,15900000,7400000, Approved
1450,5, Not Graduate, No,5800000,22200000,16,884,1200000,4800000,19500000,8500000, Approved
1451,5, Graduate, Yes,2600000,8600000,18,651,1000000,100000,7800000,2600000, Approved
1452,4, Not Graduate, No,6600000,17300000,14,793,16700000,1400000,17500000,3900000, Approved
1453,2, Not Graduate, No,6100000,21800000,4,407,9800000,100000,20200000,5800000, Approved
1454,2, Not Graduate, No,4100000,11100000,8,390,800000,3100000,10100000,3400000, Rejected
1455,3, Not Graduate, Yes,300000,1000000,12,469,600000,400000,700000,300000, Rejected
1456,4, Graduate, No,4700000,10400000,6,373,6800000,8600000,14300000,5400000, Rejected
1457,4, Graduate, Yes,1500000,5800000,2,304,2400000,1600000,3300000,1400000, Approved
1458,5, Not Graduate, No,2700000,8300000,8,833,4600000,1300000,6800000,3300000, Approved
1459,2, Graduate, No,6900000,20900000,2,302,18700000,10700000,26900000,9200000, Approved
1460,0, Graduate, No,7600000,28700000,6,397,11000000,13200000,24600000,3800000, Rejected
1461,1, Graduate, No,4100000,10000000,6,891,4900000,300000,12600000,3600000, Approved
1462,3, Not Graduate, No,4100000,12200000,2,457,700000,500000,14100000,4900000, Rejected
1463,4, Not Graduate, No,1600000,3200000,16,657,200000,100000,5700000,1200000, Approved
1464,2, Not Graduate, Yes,400000,1400000,2,480,200000,700000,1600000,200000, Approved
1465,5, Graduate, Yes,4400000,17300000,20,840,3600000,5100000,12900000,2300000, Approved
1466,2, Not Graduate, Yes,3800000,8000000,12,866,6000000,600000,8400000,1900000, Approved
1467,0, Not Graduate, No,4300000,17000000,8,619,4100000,6600000,17100000,3900000, Approved
1468,1, Graduate, Yes,9000000,33500000,2,748,7900000,9800000,25700000,11500000, Approved
1469,3, Not Graduate, Yes,9500000,25500000,12,881,27000000,14100000,21600000,8900000, Approved
1470,2, Graduate, Yes,6900000,13900000,8,829,14300000,8100000,22400000,4600000, Approved
1471,3, Not Graduate, No,4300000,11100000,6,312,4800000,3800000,10100000,3300000, Rejected
1472,3, Not Graduate, No,6600000,21400000,10,467,15200000,6000000,20300000,5200000, Rejected
1473,1, Graduate, Yes,5200000,14300000,18,650,5400000,2300000,17600000,3600000, Approved
1474,3, Graduate, Yes,400000,1100000,6,711,100000,300000,1400000,100000, Approved
1475,4, Not Graduate, No,1300000,4100000,18,886,2800000,500000,3800000,600000, Approved
1476,5, Not Graduate, No,9700000,28400000,4,494,5300000,12000000,24400000,10000000, Rejected
1477,2, Graduate, Yes,5400000,10900000,14,741,1300000,6000000,20400000,5600000, Approved
1478,4, Not Graduate, No,1200000,3300000,12,876,400000,100000,3800000,1000000, Approved
1479,0, Graduate, Yes,7000000,26400000,14,610,14300000,0,13900000,5300000, Approved
1480,5, Graduate, No,7600000,26000000,6,778,12900000,2400000,25500000,10900000, Approved
1481,5, Graduate, Yes,700000,1800000,14,571,200000,400000,1900000,400000, Approved
1482,3, Graduate, Yes,7500000,25100000,18,554,12500000,7900000,28500000,4700000, Approved
1483,0, Not Graduate, Yes,2300000,6200000,8,712,6800000,1700000,8800000,1500000, Approved
1484,5, Not Graduate, Yes,5600000,11500000,4,695,9500000,7100000,11700000,7800000, Approved
1485,0, Not Graduate, Yes,5400000,10900000,20,366,3700000,500000,21000000,4800000, Rejected
1486,1, Not Graduate, Yes,1800000,5500000,10,426,5000000,1500000,5900000,1600000, Rejected
1487,0, Not Graduate, No,2900000,6900000,10,320,5100000,500000,7700000,1500000, Rejected
1488,3, Not Graduate, Yes,1400000,4600000,8,543,1500000,1200000,2700000,2000000, Rejected
1489,2, Graduate, No,2800000,11000000,16,525,8200000,1800000,5800000,2400000, Rejected
1490,0, Not Graduate, Yes,3300000,13100000,12,812,4800000,4900000,7500000,4300000, Approved
1491,0, Not Graduate, No,7000000,25300000,14,697,15100000,10400000,14300000,6700000, Approved
1492,1, Not Graduate, No,3900000,15100000,12,527,10600000,5100000,11100000,3800000, Rejected
1493,1, Not Graduate, No,5700000,17200000,4,512,4300000,7000000,21400000,3000000, Approved
1494,0, Graduate, No,4100000,9200000,4,671,3400000,6300000,10400000,4900000, Approved
1495,1, Graduate, Yes,2200000,8700000,20,539,1000000,4000000,8200000,2600000, Rejected
1496,5, Not Graduate, No,2200000,7200000,10,532,2700000,300000,7500000,1600000, Rejected
1497,3, Not Graduate, Yes,2500000,7700000,16,485,2000000,3600000,5600000,3200000, Rejected
1498,0, Not Graduate, Yes,900000,2100000,6,521,100000,1700000,2100000,700000, Rejected
1499,1, Not Graduate, No,2900000,7400000,10,874,400000,1200000,10100000,3300000, Approved
1500,2, Not Graduate, No,9800000,22900000,10,788,1300000,10300000,27200000,14000000, Approved
1501,2, Not Graduate, No,5200000,14800000,12,659,11500000,5200000,18100000,4100000, Approved
1502,1, Graduate, Yes,8600000,19600000,16,498,14800000,3000000,21000000,5300000, Rejected
1503,2, Graduate, Yes,4800000,13200000,20,310,11800000,4600000,12900000,4200000, Rejected
1504,0, Graduate, No,2000000,4700000,6,785,2900000,1800000,6700000,1700000, Approved
1505,0, Graduate, No,3600000,8700000,10,309,6300000,1000000,8600000,3300000, Rejected
1506,3, Not Graduate, Yes,5300000,19600000,2,433,14700000,9900000,10800000,3000000, Approved
1507,1, Not Graduate, Yes,400000,1300000,18,801,100000,0,1500000,600000, Approved
1508,3, Graduate, Yes,6500000,22400000,6,488,16800000,11700000,21700000,6800000, Rejected
1509,0, Not Graduate, Yes,2300000,6000000,16,756,2900000,2100000,7500000,1200000, Approved
1510,3, Graduate, No,1000000,2800000,4,757,2500000,100000,3800000,900000, Approved
1511,5, Not Graduate, No,3200000,10100000,6,828,8500000,6000000,8700000,3000000, Approved
1512,3, Graduate, Yes,3400000,7200000,12,733,4800000,2700000,8100000,2200000, Approved
1513,0, Not Graduate, No,9600000,38200000,8,421,1600000,14100000,33600000,13800000, Rejected
1514,3, Not Graduate, No,5300000,20300000,4,872,4300000,7300000,18400000,7600000, Approved
1515,3, Graduate, No,4700000,17400000,10,393,12400000,5300000,18700000,5300000, Rejected
1516,3, Graduate, No,9700000,37800000,12,700,13400000,6100000,25800000,11900000, Approved
1517,5, Graduate, No,8800000,21600000,18,613,15400000,12100000,30000000,8400000, Approved
1518,5, Graduate, No,5900000,13400000,6,455,3200000,11200000,21600000,6900000, Rejected
1519,4, Graduate, Yes,2400000,7100000,16,871,7000000,300000,8500000,3500000, Approved
1520,4, Graduate, Yes,7900000,21500000,16,497,2200000,5200000,23100000,7700000, Rejected
1521,0, Graduate, No,1400000,2700000,2,649,2600000,1000000,5500000,1100000, Approved
1522,0, Graduate, Yes,3500000,10000000,14,709,5300000,1800000,9200000,5000000, Approved
1523,4, Graduate, No,3400000,13500000,12,705,10000000,1100000,8300000,4900000, Approved
1524,2, Graduate, No,6100000,23600000,2,476,4600000,2900000,22500000,3800000, Approved
1525,2, Not Graduate, Yes,3000000,7100000,4,819,5400000,4800000,6000000,2100000, Approved
1526,5, Not Graduate, Yes,3400000,9400000,16,535,3100000,5600000,12900000,3200000, Rejected
1527,0, Graduate, Yes,400000,1200000,14,889,1100000,200000,700000,200000, Approved
1528,0, Graduate, No,5900000,11800000,12,468,9100000,10000000,17500000,6200000, Rejected
1529,5, Graduate, Yes,400000,800000,2,759,100000,500000,1300000,300000, Approved
1530,3, Graduate, Yes,9000000,33600000,2,426,21600000,16200000,20700000,11900000, Approved
1531,0, Graduate, Yes,8800000,23600000,8,712,400000,11300000,19300000,11100000, Approved
1532,4, Graduate, Yes,2000000,4700000,2,615,500000,100000,6700000,3000000, Approved
1533,2, Graduate, No,4700000,14000000,12,784,13400000,2700000,14800000,6900000, Approved
1534,4, Not Graduate, No,2700000,6100000,16,677,100000,3300000,6500000,3800000, Approved
1535,1, Not Graduate, No,2600000,7900000,12,306,2000000,2400000,7600000,3300000, Rejected
1536,1, Not Graduate, Yes,9000000,25400000,16,655,22000000,8800000,29100000,7200000, Approved
1537,4, Not Graduate, No,5100000,19400000,8,755,2200000,300000,14900000,5300000, Approved
1538,2, Graduate, No,6600000,25800000,18,598,3800000,3100000,16400000,5900000, Approved
1539,2, Graduate, No,4400000,9800000,18,712,5400000,200000,8800000,6400000, Approved
1540,4, Not Graduate, Yes,1500000,4600000,6,524,3700000,2000000,5000000,1400000, Rejected
1541,1, Not Graduate, No,6200000,23100000,16,838,9100000,1400000,23500000,7000000, Approved
1542,4, Graduate, Yes,900000,2900000,6,560,1500000,900000,3100000,900000, Approved
1543,3, Not Graduate, No,7700000,26400000,12,759,3400000,2900000,21900000,10800000, Approved
1544,2, Graduate, Yes,600000,2400000,6,454,100000,600000,2300000,300000, Rejected
1545,4, Not Graduate, No,4300000,16500000,4,539,10600000,6100000,9300000,2100000, Approved
1546,2, Not Graduate, Yes,8200000,27800000,16,827,11500000,8700000,26000000,10700000, Approved
1547,0, Not Graduate, No,3500000,11900000,12,686,4400000,4800000,10100000,2500000, Approved
1548,1, Graduate, Yes,9900000,34100000,14,371,24400000,7100000,29300000,6200000, Rejected
1549,5, Graduate, No,700000,1900000,4,784,500000,1000000,2100000,600000, Approved
1550,1, Graduate, Yes,2100000,7300000,16,826,1600000,3500000,7700000,1400000, Approved
1551,2, Not Graduate, No,3200000,10500000,12,502,4300000,1500000,10000000,4500000, Rejected
1552,0, Graduate, No,2900000,7800000,8,367,700000,3700000,7700000,3600000, Rejected
1553,0, Not Graduate, No,7000000,18300000,6,541,6300000,6400000,20800000,8300000, Rejected
1554,1, Graduate, No,3700000,13600000,16,608,400000,2200000,13400000,2800000, Approved
1555,3, Not Graduate, Yes,4500000,13100000,12,570,10500000,2000000,10100000,5800000, Approved
1556,3, Graduate, No,200000,800000,18,752,200000,200000,300000,200000, Approved
1557,5, Not Graduate, Yes,5600000,20500000,8,873,5500000,9500000,19400000,7800000, Approved
1558,5, Graduate, No,5400000,18600000,2,538,7700000,2700000,18800000,4000000, Approved
1559,4, Not Graduate, No,300000,1000000,10,819,700000,300000,900000,200000, Approved
1560,1, Graduate, Yes,7500000,29800000,18,770,1400000,5200000,28000000,8700000, Approved
1561,5, Not Graduate, Yes,2500000,9600000,6,345,1900000,1900000,6800000,2600000, Rejected
